Country	Installation ID	Year	NER allocation
FI	662	 2018 	4131 
FI	662	 2019 	3398 
FI	662	 2020 	2692 
FI	663	 2013 	35137 
FI	663	 2014 	32953 
FI	663	 2015 	30822 
FI	663	 2016 	28747 
FI	663	 2017 	26730 
FI	663	 2018 	24768 
FI	663	 2019 	22860 
FI	663	 2020 	21010 
IT	1246	 2013 	25867 
IT	1246	 2014 	23149 
IT	1246	 2015 	20507 
IT	1246	 2016 	17949 
IT	1246	 2017 	15472 
IT	1246	 2018 	13075 
IT	1246	 2019 	10755 
IT	1246	 2020 	8519 
DK	202911	 2013 	5931 
DK	202911	 2014 	5308 
DK	202911	 2015 	4702 
DK	202911	 2016 	4116 
DK	202911	 2017 	3548 
DK	202911	 2018 	2998 
DK	202911	 2019 	2466 
DK	202911	 2020 	1953 
CZ	201588	 2013 	20300 
CZ	201588	 2014 	19947 
CZ	201588	 2015 	19593 
CZ	201588	 2016 	19240 
CZ	201588	 2017 	18887 
CZ	201588	 2018 	18534 
CZ	201588	 2019 	18181 
CZ	201588	 2020 	17828 
DE	660	 2013 	1947 
DE	660	 2014 	7008 
DE	660	 2015 	6312 
